,name,cate_1,cate_2,cate_3,state,dong,lon,lat
38369,황박사통마늘오리주물럭,닭/오리요리,오리고기전문,한식 음식점업,동대문구,제기동,37.5839795984304,127.038293124145
38373,경성상회,종합소매점,종합소매,그외 기타 종합 소매업,동대문구,제기동,37.5790306472822,127.039126646871
38376,석거리홍어,일식/수산물,홍어전문,한식 음식점업,동대문구,장안2동,37.573187145278396,127.071182595828
38427,대성회관,한식,한식/백반/한정식,한식 음식점업,동대문구,장안1동,37.5720944026421,127.06858112999201
38442,광수육회,한식,한식/백반/한정식,한식 음식점업,성북구,종암동,37.5981518380993,127.033739510995
38523,보문동뼈해장국꼬마순대,한식,해장국/감자탕,한식 음식점업,성북구,보문동,37.5806932823415,127.022145259333
38541,뜰아래,한식,한식/백반/한정식,한식 음식점업,동대문구,회기동,37.5912875586912,127.050598207736
38577,압구정김밥,분식,라면김밥분식,분식 및 김밥 전문점,동대문구,전농1동,37.582860904707395,127.053728238897
38601,한신그린마트,종합소매점,수퍼마켓,슈퍼마켓,동대문구,청량리동,37.5880236430842,127.049212981348
38608,한국아이지에이마트고대하늘정,종합소매점,편의점,체인화 편의점,성북구,안암동,37.5864875767796,127.030957744251
38675,슬기로운배달생활,한식,한식/백반/한정식,한식 음식점업,성북구,석관동,37.6137852036691,127.06282838222602
38745,국당퓨전레스토랑,별식/퓨전요리,퓨전음식전문,그외 기타 음식점업,성북구,안암동,37.5848990151358,127.029529068695
38759,보성관,중식,중국음식/중국집,중식 음식점업,동대문구,답십리1동,37.5706578016085,127.047758386476
38797,블레스시계,일식/수산물,음식점-초밥전문,일식 음식점업,동대문구,휘경1동,37.590519662484205,127.061614196526
38814,용구비어,유흥주점,호프/맥주,기타 주점업,성북구,안암동,37.586024189492896,127.03048820301599
38836,낙랑참숯장작구이,한식,갈비/삼겹살,한식 음식점업,동대문구,답십리2동,37.5660564889709,127.055989698015
38904,오성초밥,일식/수산물,음식점-초밥전문,일식 음식점업,성북구,장위2동,37.6115742346405,127.057872476071
